0	    288.15	101325	1.225	    340.294	1.81206E-05
500	    284.9	95460.8	1.16727	    338.37	1.79579E-05
1000	281.65	89874.6	1.11164	    336.434	1.77943E-05
1500	278.4	84556	1.05807	    334.487	1.76298E-05
2000	275.15	79495.2	1.00649	    332.529	1.74645E-05
2500	271.9	74682.5	0.956859	330.56	1.72983E-05
3000	268.65	70108.5	0.909122	328.578	1.71311E-05
3500	265.4	65764.1	0.863229	326.584	0.000016963
4000	262.15	61640.2	0.819129	324.579	0.000016794
4500	258.9	57728.3	0.776775	322.56	1.66241E-05
5000	255.65	54019.9	0.736116	320.529	1.64531E-05
5500	252.4	50506.8	0.697106	318.486	1.62813E-05
6000	249.15	47181	0.659697	316.428	1.61084E-05
6500	245.9	44034.8	0.623844	314.358	1.59345E-05
7000	242.65	41060.7	0.589501	312.274	1.57596E-05
7500	239.4	38251.4	0.556624	310.175	1.55837E-05
8000	236.15	35599.8	0.525168	308.063	1.54068E-05
8500	232.9	33099	0.49509	    305.935	1.52288E-05
9000	229.65	30742.5	0.466348	303.793	1.50498E-05
9500	226.4	28523.6	0.438901	301.636	1.48696E-05
10000	223.15	26436.3	0.412707	299.463	1.46884E-05
10500	219.9	24474.4	0.387725	297.275	1.45061E-05
11000	216.65	22632.1	0.363918	295.07	1.43226E-05
11500	216.65	20980.0	0.336327	295.07	1.43226E-05
12000	216.65	19400.4	0.310828	295.07	1.43226E-05
12500	216.65	17864.8	0.287262	295.07	1.43226E-05
13000	216.65	16510.4	0.265483	295.07	1.43226E-05
13500	216.65	15258.7	0.245355	295.07	1.43226E-05
14000	216.65	14101.8	0.226753	295.07	1.43226E-05
14500	216.65	13032.7	0.209562	295.07	1.43226E-05
15000	216.65	12044.6	0.193674	295.07	1.43226E-05
15500	216.65	11131.4	0.17899	    295.07	1.43226E-05
16000	216.65	10287.5	0.16542	    295.07	1.43226E-05
16500	216.65	9507.5	0.152878	295.07	1.43226E-05
17000	216.65	8786.68	0.141288	295.07	1.43226E-05
17500	216.65	8120.51	0.130576	295.07	1.43226E-05
18000	216.65	7504.84	0.120676	295.07	1.43226E-05
18500	216.65	6935.86	0.111527	295.07	1.43226E-05
19000	216.65	6410.01	0.103071	295.07	1.43226E-05
19500	216.65	5924.03	0.0952569	295.07	1.43226E-05
20000	216.65	5474.89	0.0880349	295.07	1.43226E-05
